Cycle: 5  cd16  2 nM_X	Cycle: 5  cd16  2 nM_Y	Fitted Cycle: 5  cd16  2 nM_X	Fitted Cycle: 5  cd16  2 nM_Y	Cycle: 6  cd16  4 nM_X	Cycle: 6  cd16  4 nM_Y	Fitted Cycle: 6  cd16  4 nM_X	Fitted Cycle: 6  cd16  4 nM_Y	Cycle: 7  cd16  8 nM_X	Cycle: 7  cd16  8 nM_Y	Fitted Cycle: 7  cd16  8 nM_X	Fitted Cycle: 7  cd16  8 nM_Y	Cycle: 8  cd16  16 nM_X	Cycle: 8  cd16  16 nM_Y	Fitted Cycle: 8  cd16  16 nM_X	Fitted Cycle: 8  cd16  16 nM_Y	Cycle: 9  cd16  32 nM_X	Cycle: 9  cd16  32 nM_Y	Fitted Cycle: 9  cd16  32 nM_X	Fitted Cycle: 9  cd16  32 nM_Y	Cycle: 10  cd16  8 nM_X	Cycle: 10  cd16  8 nM_Y	Fitted Cycle: 10  cd16  8 nM_X	Fitted Cycle: 10  cd16  8 nM_Y
-51.46	-0.0207926	-51.46	0	-51.56	-0.234212	-51.56	0	-51.46	-0.037089	-51.46	0	-51.46	-3.45867e-4	-51.46	0	-51.46	0.0310262	-51.46	0	-51.46	0.0396322	-51.46	0
-51.36	-0.0386353	-51.36	0	-51.46	-0.242655	-51.46	0	-51.36	-0.0432129	-51.36	0	-51.36	-6.10352e-4	-51.36	0	-51.36	0.0182495	-51.36	0	-51.36	0.0327148	-51.36	0
-51.26	-0.0520425	-51.26	0	-51.36	-0.210876	-51.36	0	-51.26	-0.0468545	-51.26	0	-51.26	1.6074e-3	-51.26	0	-51.26	9.36009e-4	-51.26	0	-51.26	0.025167	-51.26	0
-51.16	-0.0464478	-51.16	0	-51.26	-0.119609	-51.26	0	-51.16	-0.050232	-51.16	0	-51.16	0.0275268	-51.16	0	-51.16	-0.020813	-51.16	0	-51.16	0.0209961	-51.16	0
-51.06	-0.0513916	-51.06	0	-51.16	-0.0202639	-51.16	0	-51.06	-0.0442505	-51.06	0	-51.06	0.0296021	-51.06	0	-51.06	-0.0491943	-51.06	0	-51.06	0.0160522	-51.06	0
-50.96	-0.0534668	-50.96	0	-51.06	0.0509644	-51.06	0	-50.96	-0.0549316	-50.96	0	-50.96	0.0384521	-50.96	0	-50.96	-0.0618286	-50.96	0	-50.96	0.019043	-50.96	0
-50.86	-0.0546468	-50.86	0	-50.96	0.118408	-50.96	0	-50.86	-0.0728963	-50.86	0	-50.86	0.0302531	-50.86	0	-50.86	-0.091512	-50.86	0	-50.86	0.0167033	-50.86	0
-50.76	-0.0605061	-50.76	0	-50.86	0.168009	-50.86	0	-50.76	-0.0709431	-50.76	0	-50.76	0.0283	-50.76	0	-50.76	-0.0934651	-50.76	0	-50.76	8.89084e-3	-50.76	0
-50.66	-0.078084	-50.66	0	-50.76	0.1309	-50.76	0	-50.66	-0.0865679	-50.66	0	-50.66	0.0165815	-50.66	0	-50.66	-0.0926714	-50.66	0	-50.66	0.0214033	-50.66	0
-50.56	-0.0780843	-50.56	0	-50.66	0.0558877	-50.66	0	-50.56	-0.0963338	-50.56	0	-50.56	9.56215e-4	-50.56	0	-50.56	-0.0876058	-50.56	0	-50.56	0.028422	-50.56	0
-50.46	-0.0748291	-50.46	0	-50.56	-0.0175374	-50.56	0	-50.46	-0.0930786	-50.46	0	-50.46	4.21143e-3	-50.46	0	-50.46	-0.0784912	-50.46	0	-50.46	0.0414429	-50.46	0
-50.36	-0.0611572	-50.36	0	-50.46	-0.0494385	-50.46	0	-50.36	-0.0891724	-50.36	0	-50.36	4.21143e-3	-50.36	0	-50.36	-0.0640259	-50.36	0	-50.36	0.0414429	-50.36	0
-50.26	-0.0409751	-50.26	0	-50.36	-0.0767822	-50.36	0	-50.26	-0.0756431	-50.26	0	-50.26	8.76857e-3	-50.26	0	-50.26	-0.0192466	-50.26	0	-50.26	0.0499063	-50.26	0
-50.16	-0.02417	-50.16	0	-50.26	-0.0671586	-50.26	0	-50.16	-0.0639039	-50.16	0	-50.16	0.0150145	-50.16	0	-50.16	0.0288085	-50.16	0	-50.16	0.0581053	-50.16	0
-50.06	-9.46045e-3	-50.06	0	-50.16	-0.0456538	-50.16	0	-50.06	-0.05896	-50.06	0	-50.06	0.0148926	-50.06	0	-50.06	0.0669556	-50.06	0	-50.06	0.0482178	-50.06	0
-49.96	-1.26139e-3	-49.96	0	-50.06	-0.0133667	-50.06	0	-49.96	-0.0605265	-49.96	0	-49.96	0.013326	-49.96	0	-49.96	0.0763143	-49.96	0	-49.96	0.0368856	-49.96	0
-49.86	-7.77181e-3	-49.86	0	-49.96	-9.86735e-3	-49.96	0	-49.86	-0.0631307	-49.86	0	-49.86	6.81559e-3	-49.86	0	-49.86	0.0745036	-49.86	0	-49.86	0.0381877	-49.86	0
-49.76	-0.0110274	-49.76	0	-49.86	-0.0136312	-49.86	0	-49.76	-0.0702925	-49.76	0	-49.76	7.46628e-3	-49.76	0	-49.76	0.0724077	-49.76	0	-49.76	0.0407915	-49.76	0
